# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  116       4.235216809087e-10       1.297736257086e-13      -4.409466015434e-12       0.000000000000e+00       7.280040829157e-12       1.117731745378e-12      -6.318340889240e-15 
  117       4.279445364844e-10       1.311617917588e-13      -4.488766042675e-12       0.000000000000e+00       7.112276029890e-12       1.096839047391e-12      -6.217047204808e-15 
  118       4.323823996957e-10       1.325013190998e-13      -4.566960003848e-12       0.000000000000e+00       6.949467616783e-12       1.076345644812e-12      -6.110350335230e-15 
  119       4.368338030042e-10       1.337907125498e-13      -4.643969431293e-12       0.000000000000e+00       6.791442240663e-12       1.056355443114e-12      -6.005266694026e-15 
  120       4.412971335013e-10       1.350285005081e-13      -4.719715275112e-12       0.000000000000e+00       6.637987804824e-12       1.036976384711e-12      -5.909288341430e-15 
  121       4.457708781626e-10       1.362132697663e-13      -4.794119962761e-12       0.000000000000e+00       6.488887314640e-12       1.018295877830e-12      -5.828583014037e-15 
  122       4.502544004357e-10       1.373437720271e-13      -4.867113805098e-12       0.000000000000e+00       6.344027151671e-12       1.000303715756e-12      -5.762335104577e-15 
  123       4.547472473046e-10       1.384188320992e-13      -4.938629381296e-12       0.000000000000e+00       6.203299509998e-12       9.829602233320e-13      -5.707759717283e-15 
  124       4.592489063237e-10       1.394373168192e-13      -5.008599604636e-12       0.000000000000e+00       6.066567860231e-12       9.662199347607e-13      -5.661848619518e-15 
  125       4.637588037061e-10       1.403981365057e-13      -5.076957760198e-12       0.000000000000e+00       5.933666178355e-12       9.500314488990e-13      -5.621365423538e-15 
  126       4.682761970862e-10       1.413002567357e-13      -5.143636621586e-12       0.000000000000e+00       5.804424370093e-12       9.343344636842e-13      -5.583024718352e-15 
  127       4.727998442576e-10       1.421427320771e-13      -5.208565608741e-12       0.000000000000e+00       5.678749412729e-12       9.190508106370e-13      -5.544062460489e-15 
  128       4.773282934765e-10       1.429246789041e-13      -5.271673380797e-12       0.000000000000e+00       5.556551907008e-12       9.040921363586e-13      -5.501720804051e-15 
