# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   70       2.467939543148e-10       4.333787876675e-14      -7.505655598207e-13       0.000000000000e+00       2.638774829384e-11       3.145391763650e-12      -7.828160835250e-15 
   71       2.499748743474e-10       4.507624091586e-14      -8.096796369588e-13       0.000000000000e+00       2.551034667877e-11       3.055275175771e-12      -7.798461080694e-15 
   72       2.531800770671e-10       4.684351344948e-14      -8.703232285398e-13       0.000000000000e+00       2.467071182799e-11       2.969209026004e-12      -8.005189002469e-15 
   73       2.564120784046e-10       4.863877454196e-14      -9.324862828484e-13       0.000000000000e+00       2.386695045181e-11       2.886022070446e-12      -8.412997284872e-15 
   74       2.596734025615e-10       5.046113452260e-14      -9.961644703253e-13       0.000000000000e+00       2.309676759543e-11       2.804784295781e-12      -8.972631098279e-15 
   75       2.629672532279e-10       5.231000265264e-14      -1.061377078470e-12       0.000000000000e+00       2.235875322570e-11       2.726198304887e-12      -9.593799438738e-15 
   76       2.662969358841e-10       5.418486969275e-14      -1.128152615549e-12       0.000000000000e+00       2.165127097541e-11       2.651455704842e-12      -1.016683278397e-14 
   77       2.696642902579e-10       5.608496583478e-14      -1.196496348932e-12       0.000000000000e+00       2.097238679624e-11       2.581404004167e-12      -1.059928833792e-14 
   78       2.730653424552e-10       5.800841279665e-14      -1.266302576012e-12       0.000000000000e+00       2.032095123324e-11       2.515191431882e-12      -1.090879719129e-14 
   79       2.764938418249e-10       5.995292078907e-14      -1.337426834156e-12       0.000000000000e+00       1.969566248695e-11       2.451380299693e-12      -1.114631275312e-14 
   80       2.799447195383e-10       6.191608538054e-14      -1.409738212045e-12       0.000000000000e+00       1.909497470357e-11       2.388734598413e-12      -1.134773270768e-14 
   81       2.834211411479e-10       6.389554205890e-14      -1.483204280245e-12       0.000000000000e+00       1.851790127424e-11       2.327470028870e-12      -1.146693254812e-14 
   82       2.869286108830e-10       6.588883147181e-14      -1.557820335394e-12       0.000000000000e+00       1.796331364624e-11       2.268210045618e-12      -1.143140118010e-14 
   83       2.904714450210e-10       6.789351901789e-14      -1.633565691414e-12       0.000000000000e+00       1.742989826450e-11       2.211482966449e-12      -1.120035372314e-14 
   84       2.940482402556e-10       6.990773363891e-14      -1.710344733410e-12       0.000000000000e+00       1.691683626818e-11       2.157307115674e-12      -1.088698017478e-14 
   85       2.976556431791e-10       7.192971428494e-14      -1.788036191448e-12       0.000000000000e+00       1.642320885957e-11       2.105537042343e-12      -1.065643391225e-14 
   86       3.012908885592e-10       7.395773579849e-14      -1.866543866398e-12       0.000000000000e+00       1.594794569930e-11       2.055941269153e-12      -1.063411500888e-14 
   87       3.049556296006e-10       7.599038803743e-14      -1.945902461581e-12       0.000000000000e+00       1.549034887019e-11       2.008058372454e-12      -1.072884262876e-14 
   88       3.086526878207e-10       7.802634204652e-14      -2.026188659283e-12       0.000000000000e+00       1.504963160234e-11       1.961314603168e-12      -1.078174066695e-14 
   89       3.123842533489e-10       8.006439226645e-14      -2.107467324864e-12       0.000000000000e+00       1.462488331651e-11       1.915266678803e-12      -1.066302383538e-14 
   90       3.161498423418e-10       8.210385379933e-14      -2.189720636575e-12       0.000000000000e+00       1.421549021094e-11       1.870243177661e-12      -1.041183190127e-14 
   91       3.199480096642e-10       8.414423017971e-14      -2.272908442624e-12       0.000000000000e+00       1.382076322873e-11       1.826800036195e-12      -1.011764532514e-14 
   92       3.237771507210e-10       8.618485382938e-14      -2.356979809455e-12       0.000000000000e+00       1.343993095649e-11       1.785381600899e-12      -9.857619961666e-15 
   93       3.276361321412e-10       8.822411572195e-14      -2.441841677861e-12       0.000000000000e+00       1.307254403623e-11       1.745857275835e-12      -9.631001312284e-15 
   94       3.315237316233e-10       9.026012398976e-14      -2.527385459148e-12       0.000000000000e+00       1.271811846430e-11       1.707915534133e-12      -9.415128135347e-15 
   95       3.354384324259e-10       9.229093697553e-14      -2.613496376094e-12       0.000000000000e+00       1.237600555833e-11       1.671202596853e-12      -9.185225375719e-15 
   96       3.393789708379e-10       9.431435430193e-14      -2.700056839874e-12       0.000000000000e+00       1.204550728162e-11       1.635401630782e-12      -8.922002762914e-15 
   97       3.433460938722e-10       9.632725576655e-14      -2.786957399797e-12       0.000000000000e+00       1.172625395006e-11       1.600486342237e-12      -8.635841629967e-15 
   98       3.473410386292e-10       9.832616511542e-14      -2.874087179352e-12       0.000000000000e+00       1.141787118093e-11       1.566502156161e-12      -8.346046531253e-15 
   99       3.513649927480e-10       1.003074472539e-13      -2.961330451273e-12       0.000000000000e+00       1.111985954635e-11       1.533488772153e-12      -8.073544369144e-15 
  100       3.554186899574e-10       1.022678756961e-13      -3.048585580438e-12       0.000000000000e+00       1.083167835248e-11       1.501476612379e-12      -7.836285616291e-15 
  101       3.595011404379e-10       1.042064320200e-13      -3.135825041486e-12       0.000000000000e+00       1.055301948578e-11       1.470476148647e-12      -7.634623278140e-15 
  102       3.636107142812e-10       1.061227545784e-13      -3.223043723596e-12       0.000000000000e+00       1.028356432515e-11       1.440486596341e-12      -7.463949866119e-15 
  103       3.677455176009e-10       1.080165944543e-13      -3.310240816522e-12       0.000000000000e+00       1.002289604629e-11       1.411498786601e-12      -7.319140521123e-15 
