#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:V_x_smg               19:V_x_prime_smg         20:h_prime               21:eta                
       8.471975314714e-02       1.828151924690e-07      -1.202367465749e+00       2.546210195828e-06       6.787142869793e-14       1.696785717448e-13       2.544159758105e-23       3.393571434896e-14      -9.017755993118e-01       2.546210195828e-06       6.011218665939e-01       6.994081695157e-01      -1.202367465749e+00       2.546210114582e-06       2.876237451889e-08      -9.017755993118e-01       2.546210364700e-06       1.631536781632e-55       2.003889795557e-53       8.470394203162e-06       9.999999761484e-01 
       9.710472482823e-02       2.095452584875e-07      -1.202386084853e+00       2.918413002740e-06       1.022045638412e-13       2.555114096029e-13       5.033369177795e-23       5.110228192059e-14      -9.017895636397e-01       2.918413002740e-06       6.011221130671e-01       6.994035260196e-01      -1.202386084853e+00       2.918412880396e-06       3.778626990451e-08      -9.017895636397e-01       2.918413257019e-06       6.789500992384e-55       6.824898092656e-53       9.708395324744e-06       9.999999686663e-01 
       1.094896965093e-01       2.362765397550e-07      -1.202404686547e+00       3.290610272799e-06       1.465160511458e-13       3.662901278646e-13       9.174010417217e-23       7.325802557291e-14      -9.018035149102e-01       3.290610272800e-06       6.011223662229e-01       6.993988884125e-01      -1.202404686547e+00       3.290610097413e-06       4.803941605676e-08      -9.018035149103e-01       3.290610637298e-06       2.226628823941e-54       1.934482953729e-52       1.094632878214e-05       9.999999601654e-01 
       1.218746681904e-01       2.630090362712e-07      -1.202423325123e+00       3.662802149198e-06       2.020793995972e-13       5.051984989930e-13       1.567820007731e-22       1.010396997986e-13      -9.018174938425e-01       3.662802149212e-06       6.011226144549e-01       6.993942431214e-01      -1.202423325123e+00       3.662801907301e-06       5.952179424292e-08      -9.018174938425e-01       3.662802651892e-06       6.409222282593e-54       5.103682013521e-52       1.218419480962e-05       9.999999506458e-01 
       1.342596398715e-01       2.897427480363e-07      -1.202441975607e+00       4.034988566514e-06       2.701683009129e-13       6.754207522823e-13       2.543855046912e-22       1.350841504565e-13      -9.018314817054e-01       4.034988566544e-06       6.011228645516e-01       6.993895963899e-01      -1.202441975607e+00       4.034988243113e-06       7.223338467979e-08      -9.018314817054e-01       4.034989238541e-06       2.101486153525e-53       1.971101924496e-51       1.342199332861e-05       9.999999401076e-01 
       1.466446115526e-01       3.164776750503e-07      -1.202460648982e+00       4.407169568805e-06       3.520566431062e-13       8.801416077655e-13       3.954863714672e-22       1.760283215531e-13      -9.018454867367e-01       4.407169568846e-06       6.011231130160e-01       6.993849454722e-01      -1.202460648982e+00       4.407169147382e-06       8.617416913417e-08      -9.018454867367e-01       4.407170444463e-06       6.610101216462e-53       5.700908853263e-51       1.465972439660e-05       9.999999285510e-01 
       1.596728732788e-01       3.446025572946e-07      -1.202480289982e+00       4.798676146706e-06       4.544904185367e-13       1.136226046342e-12       6.053332695321e-22       2.272452092683e-13      -9.018602174864e-01       4.798676146754e-06       6.011233767445e-01       6.993800552116e-01      -1.202480289982e+00       4.798675602670e-06       1.021656562217e-07      -9.018602174865e-01       4.798677277062e-06       1.886080678429e-52       1.390166728104e-50       1.596167172375e-05       9.999999152950e-01 
       1.727011350049e-01       3.727287843092e-07      -1.202499951958e+00       5.190176720723e-06       5.750875746040e-13       1.437718936510e-12       8.960921434402e-22       2.875437873020e-13      -9.018749639687e-01       5.190176720776e-06       6.011236370706e-01       6.993751614071e-01      -1.202499951958e+00       5.190176032332e-06       1.195173055934e-07      -9.018749639687e-01       5.190178150911e-06       4.677659033744e-52       3.030493908130e-50       1.726354439418e-05       9.999999009124e-01 
       1.857293967311e-01       4.008563560942e-07      -1.202519617222e+00       5.581671211815e-06       7.153316601677e-13       1.788329150419e-12       1.289192633757e-21       3.576658300839e-13      -9.018897129166e-01       5.581671211876e-06       6.011238978606e-01       6.993702684809e-01      -1.202519617222e+00       5.581670355553e-06       1.382290960744e-07      -9.018897129167e-01       5.581672990648e-06       1.054982771715e-51       6.235614540633e-50       1.856534230885e-05       9.999998854031e-01 
       1.987576584572e-01       4.289852726496e-07      -1.202539290017e+00       5.973159632006e-06       8.767064651149e-13       2.191766162787e-12       1.809555028510e-21       4.383532325575e-13      -9.019044675129e-01       5.973159632076e-06       6.011241583912e-01       6.993653753720e-01      -1.202539290017e+00       5.973158582580e-06       1.583010061711e-07      -9.019044675130e-01       5.973161811975e-06       2.230024531961e-51       1.227536822459e-49       1.986706550327e-05       9.999998687673e-01 
       2.117859201834e-01       4.571155339754e-07      -1.202558971528e+00       6.364641982094e-06       1.060696011371e-12       2.651740028429e-12       2.485854558051e-21       5.303480056857e-13      -9.019192286458e-01       6.364641982174e-06       6.011244184559e-01       6.993604817844e-01      -1.202558971528e+00       6.364640712437e-06       1.797330145100e-07      -9.019192286460e-01       6.364644619371e-06       4.485161410819e-51       2.317788710311e-49       2.116871399155e-05       9.999998510053e-01 
       2.248141819096e-01       4.852471400715e-07      -1.202578647134e+00       6.756118170582e-06       1.268784536644e-12       3.171961341610e-12       3.350785794481e-21       6.343922683221e-13      -9.019339853508e-01       6.756118170672e-06       6.011246812164e-01       6.993555913728e-01      -1.202578647134e+00       6.756116651849e-06       2.025250997262e-07      -9.019339853510e-01       6.756121325014e-06       8.647149472747e-51       4.210206163815e-49       2.247028765060e-05       9.999998321171e-01 
       2.551513195798e-01       5.507585890899e-07      -1.202624537750e+00       7.667672094204e-06       1.855026004586e-12       4.637565011464e-12       6.311104614758e-21       9.275130022928e-13      -9.019684033126e-01       7.667672094320e-06       6.011252821567e-01       6.993441916483e-01      -1.202624537750e+00       7.667669873764e-06       2.608686272412e-07      -9.019684033129e-01       7.667676705364e-06       3.580123448019e-50       1.505664374731e-48       2.550079574479e-05       9.999997837709e-01 
       2.854884572500e-01       6.162773297343e-07      -1.202670476746e+00       8.579193019853e-06       2.598734890249e-12       6.496837225621e-12       1.106998879338e-20       1.299367445124e-12      -9.020028575593e-01       8.579193019996e-06       6.011258798034e-01       6.993327890467e-01      -1.202670476746e+00       8.579189909236e-06       3.265863916309e-07      -9.020028575598e-01       8.579199478611e-06       1.227237538491e-49       4.521745831406e-48       2.853089891557e-05       9.999997293208e-01 
       3.158255949202e-01       6.818033620049e-07      -1.202716454615e+00       9.490680814440e-06       3.518665960785e-12       8.796664901962e-12       1.834548240412e-20       1.759332980392e-12      -9.020373409614e-01       9.490680814613e-06       6.011264761686e-01       6.993213859441e-01      -1.202716454615e+00       9.490676602734e-06       3.996781227048e-07      -9.020373409621e-01       9.490689558072e-06       3.645029041150e-49       1.211287456242e-47       3.156059711685e-05       9.999996687685e-01 
       3.461627325905e-01       7.473366859015e-07      -1.202762483933e+00       1.040213551649e-05       4.633580869129e-12       1.158395217282e-11       2.902566445456e-20       2.316790434564e-12      -9.020718629494e-01       1.040213551670e-05       6.011270685825e-01       6.993099791966e-01      -1.202762483932e+00       1.040212997033e-05       4.801435490769e-07      -9.020718629504e-01       1.040214702867e-05       9.796473916821e-49       3.004184839811e-47       3.458989055889e-05       9.999996021156e-01 
       3.764998702607e-01       8.128773014241e-07      -1.202808569164e+00       1.131355712423e-05       5.962248103419e-12       1.490562025855e-11       4.418683111458e-20       2.981124051710e-12      -9.021064268731e-01       1.131355712448e-05       6.011276560799e-01       6.992985676874e-01      -1.202808569163e+00       1.131354998780e-05       5.679823987645e-07      -9.021064268745e-01       1.131357193500e-05       2.441568590068e-48       6.982223448204e-47       3.761877938800e-05       9.999995293638e-01 
       4.068370079309e-01       8.784252085729e-07      -1.202854707721e+00       1.222494557486e-05       7.523442959320e-12       1.880860739830e-11       6.511169980444e-20       3.761721479660e-12      -9.021410307909e-01       1.222494557515e-05       6.011282391728e-01       6.992871520633e-01      -1.202854707720e+00       1.222493656988e-05       6.631943994842e-07      -9.021410307928e-01       1.222496426064e-05       5.709344264988e-48       1.526763532283e-46       4.064726365641e-05       9.999994505150e-01 
       4.468541588462e-01       9.648993797208e-07      -1.202915649785e+00       1.342709025014e-05       9.970227721125e-12       2.492556930281e-11       1.041122786822e-19       4.985113860563e-12      -9.021867373391e-01       1.342709025049e-05       6.011290015131e-01       6.992720876342e-01      -1.202915649784e+00       1.342707831670e-05       8.000637508722e-07      -9.021867373418e-01       1.342711500743e-05       1.615514534398e-47       3.979990597052e-46       4.464146197118e-05       9.999993371842e-01 
       4.868713097614e-01       1.051386238119e-06      -1.202976655859e+00       1.462917669525e-05       1.289741203434e-11       3.224353008586e-11       1.599042366219e-19       6.448706017172e-12      -9.022324918946e-01       1.462917669566e-05       6.011297623774e-01       6.992570232377e-01      -1.202976655857e+00       1.462916125845e-05       9.497610998607e-07      -9.022324918985e-01       1.462920871398e-05       4.186362854928e-47       9.463286417681e-46       4.863495616342e-05       9.999992132516e-01 
       5.268884606767e-01       1.137885783768e-06      -1.203037768175e+00       1.583120531139e-05       1.634814323863e-11       4.087035809658e-11       2.374097753613e-19       8.174071619316e-12      -9.022783261309e-01       1.583120531187e-05       6.011305126965e-01       6.992419483153e-01      -1.203037768171e+00       1.583118574471e-05       1.112285813788e-06      -9.022783261363e-01       1.583124588780e-05       1.000485707508e-46       2.075647037909e-45       5.262774717723e-05       9.999990787209e-01 
       5.669056115920e-01       1.224398016667e-06      -1.203098963111e+00       1.703317569177e-05       2.036558865145e-11       5.091397162862e-11       3.424325359552e-19       1.018279432572e-11      -9.023242223332e-01       1.703317569233e-05       6.011312575781e-01       6.992268687711e-01      -1.203098963106e+00       1.703315131705e-05       1.287637258411e-06      -9.023242223404e-01       1.703322622834e-05       2.231662432807e-46       4.287087175270e-45       5.661983474842e-05       9.999989335963e-01 
       6.069227625072e-01       1.310922936817e-06      -1.203160249762e+00       1.823508785674e-05       2.499293660310e-11       6.248234150774e-11       4.817308193457e-19       1.249646830155e-11      -9.023701873215e-01       1.823508785738e-05       6.011319949827e-01       6.992117823310e-01      -1.203160249756e+00       1.823505794416e-05       1.475814798958e-06      -9.023701873309e-01       1.823514986217e-05       4.708746043482e-46       8.473415619373e-45       6.061121923718e-05       9.999987778815e-01 
