# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  138       5.228240329486e-10       1.479012745945e-13      -5.773608859394e-12       8.315438715570e-16       4.501413338681e-12       7.669968503642e-13      -4.833576097985e-15 
  139       5.273146686990e-10       1.479930110768e-13      -5.811869047575e-12       8.444560279278e-16       4.410549147333e-12       7.552409600999e-13      -4.779282281474e-15 
  140       5.317952369024e-10       1.480199811532e-13      -5.847537290787e-12       8.574982949874e-16       4.322035794827e-12       7.436202839575e-13      -4.719953977279e-15 
  141       5.362642375665e-10       1.479823531704e-13      -5.880555898403e-12       8.706716911104e-16       4.235776122562e-12       7.320032217771e-13      -4.650854115263e-15 
  142       5.407201848955e-10       1.478803846641e-13      -5.910868482365e-12       8.839771394170e-16       4.151673769832e-12       7.202919486386e-13      -4.568604064834e-15 
  143       5.451618843411e-10       1.477144402033e-13      -5.938421052511e-12       8.974151440587e-16       4.069680175029e-12       7.085534370531e-13      -4.476226103331e-15 
  144       5.495881803559e-10       1.474849785765e-13      -5.963161101774e-12       9.109860813437e-16       3.989751682099e-12       6.969012952949e-13      -4.378598464356e-15 
  145       5.539978683151e-10       1.471925494882e-13      -5.985037314856e-12       9.246903001628e-16       3.911834529001e-12       6.854548932819e-13      -4.280884046622e-15 
  146       5.583896934600e-10       1.468377952943e-13      -6.003999607377e-12       9.385281213282e-16       3.835864615725e-12       6.743394566704e-13      -4.188535386444e-15 
  147       5.627623498417e-10       1.464214527378e-13      -6.019999165029e-12       9.524998369138e-16       3.761767272300e-12       6.636861609479e-13      -4.107299630239e-15 
  148       5.671145154620e-10       1.459443549067e-13      -6.032988604179e-12       9.666056963717e-16       3.689468179382e-12       6.535951245670e-13      -4.041566723960e-15 
  149       5.714449637244e-10       1.454074336579e-13      -6.042922388508e-12       9.808458647731e-16       3.618927799647e-12       6.440201892416e-13      -3.989224924729e-15 
  150       5.757524607199e-10       1.448117207313e-13      -6.049756527082e-12       9.952204592828e-16       3.550109825363e-12       6.348732069710e-13      -3.946318620009e-15 
  151       5.800357291393e-10       1.441583492710e-13      -6.053448495961e-12       1.009729561297e-15       3.482970152912e-12       6.260600405692e-13      -3.908656740337e-15 
  152       5.842934474127e-10       1.434485555627e-13      -6.053957278014e-12       1.024373215711e-15       3.417456711492e-12       6.174804558665e-13      -3.871808716136e-15 
  153       5.885242488507e-10       1.426836807708e-13      -6.051243402730e-12       1.039151430185e-15       3.353509291824e-12       6.090280139118e-13      -3.831100434517e-15 
  154       5.927267590656e-10       1.418651654641e-13      -6.045268988500e-12       1.054064249806e-15       3.291067954912e-12       6.006127449274e-13      -3.782718434654e-15 
  155       5.968997139338e-10       1.409945289705e-13      -6.035997790098e-12       1.069111990355e-15       3.230099492375e-12       5.922317527044e-13      -3.727145721948e-15 
  156       6.010418509386e-10       1.400733914202e-13      -6.023395231533e-12       1.084295025282e-15       3.170573094379e-12       5.839049552219e-13      -3.666037014189e-15 
  157       6.051518712070e-10       1.391034824719e-13      -6.007428443478e-12       1.099613711905e-15       3.112451862118e-12       5.756528956328e-13      -3.601140538009e-15 
