# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 1.09048 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.172842250125e-01       2.174787518148e+02 
       6.204979360089e-01       2.150167047366e+02 
       6.237116470924e-01       2.125977021232e+02 
       6.269253582619e-01       2.102208629075e+02 
       6.301390695160e-01       2.078821754475e+02 
       6.333527808534e-01       2.055788407348e+02 
       6.365664922728e-01       2.033119167234e+02 
       6.397802037731e-01       2.010807174877e+02 
       6.429939153529e-01       1.988856709643e+02 
       6.462076270111e-01       1.967267123027e+02 
       6.494213387465e-01       1.946010248850e+02 
       6.526350505581e-01       1.925072031279e+02 
       6.558487624446e-01       1.904423970684e+02 
       6.590624744049e-01       1.884062053675e+02 
       6.622761864380e-01       1.863970999767e+02 
       6.654898985429e-01       1.844160293876e+02 
       6.687036107185e-01       1.824648943635e+02 
       6.719173229637e-01       1.805427050556e+02 
       6.751310352776e-01       1.786499208974e+02 
       6.783447476592e-01       1.767849160839e+02 
       6.815584601076e-01       1.749461833054e+02 
       6.847721726217e-01       1.731333538828e+02 
       6.879858852008e-01       1.713441467346e+02 
       6.911995978438e-01       1.695821047146e+02 
       6.944133105498e-01       1.678464795155e+02 
       6.976270233181e-01       1.661384996185e+02 
       7.008407361477e-01       1.644555184597e+02 
       7.040544490379e-01       1.627975570304e+02 
       7.072681619877e-01       1.611626170548e+02 
       7.104818749963e-01       1.595490140116e+02 
       7.136955880631e-01       1.579572661706e+02 
       7.169093011871e-01       1.563872154764e+02 
       7.201230143676e-01       1.548399861489e+02 
       7.233367276039e-01       1.533136288522e+02 
       7.265504408952e-01       1.518105747891e+02 
       7.297641542408e-01       1.503274491033e+02 
       7.329778676400e-01       1.488627842507e+02 
       7.361915810921e-01       1.474167377044e+02 
       7.394052945963e-01       1.459896510612e+02 
       7.426190081521e-01       1.445808034292e+02 
       7.458327217587e-01       1.431918747916e+02 
       7.490464354154e-01       1.418227867816e+02 
       7.522601491217e-01       1.404729075055e+02 
       7.554738628769e-01       1.391416801110e+02 
       8.258715780720e-01       1.138911409250e+02 
       9.279569565462e-01       8.739221770455e+01 
       1.090478659365e+00       6.026106411069e+01 
