# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 1.76212 h/Mpc,
# number of wavenumbers equal to 572
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.898632318867e-01       2.312309849421e+03 
       1.930768620469e-01       2.260527801137e+03 
       1.962904951580e-01       2.204252574930e+03 
       1.995041310749e-01       2.143430952306e+03 
       2.027177696623e-01       2.078757014974e+03 
       2.059314107936e-01       2.011497420197e+03 
       2.091450543505e-01       1.943284036761e+03 
       2.123587002217e-01       1.875792900264e+03 
       2.155723483029e-01       1.810566055102e+03 
       2.187859984959e-01       1.748875594583e+03 
       2.219996507083e-01       1.691661366296e+03 
       2.252133048531e-01       1.639513849369e+03 
       2.284269608481e-01       1.592669821105e+03 
       2.316406186157e-01       1.551048457688e+03 
       2.348542780827e-01       1.514253809088e+03 
       2.380679391798e-01       1.481619477928e+03 
       2.412816018414e-01       1.452269152435e+03 
       2.444952660054e-01       1.425207664068e+03 
       2.477089316131e-01       1.399435922172e+03 
       2.509225986084e-01       1.374055009457e+03 
       2.541362669386e-01       1.348335525464e+03 
       2.573499365533e-01       1.321790432664e+03 
       2.605636074046e-01       1.294146095366e+03 
       2.637772794471e-01       1.265364331921e+03 
       2.669909526374e-01       1.235564358560e+03 
       2.702046269346e-01       1.205050120278e+03 
       2.734183022991e-01       1.174223736511e+03 
       2.766319786937e-01       1.143574351199e+03 
       2.798456560827e-01       1.113604937000e+03 
       2.830593344319e-01       1.084798152822e+03 
       2.862730137090e-01       1.057532331296e+03 
       2.894866938827e-01       1.032057347568e+03 
       2.927003749234e-01       1.008483421983e+03 
       2.959140568028e-01       9.867714020607e+02 
       2.991277394936e-01       9.667689512251e+02 
       3.023414229698e-01       9.482538297849e+02 
       3.055551072065e-01       9.309573380248e+02 
       3.087687921799e-01       9.145927221863e+02 
       3.119824778670e-01       8.988699555899e+02 
       3.151961642459e-01       8.835191470522e+02 
       3.184098512957e-01       8.682999096578e+02 
       3.216235389959e-01       8.530168705044e+02 
       3.248372273274e-01       8.375432048752e+02 
       3.280509162713e-01       8.218383594433e+02 
       3.312646058099e-01       8.059211679894e+02 
       3.344782959258e-01       7.898918541420e+02 
       3.376919866026e-01       7.738827289847e+02 
       3.409056778242e-01       7.580391376547e+02 
       3.441193695754e-01       7.425013181167e+02 
       3.473330618414e-01       7.273944958712e+02 
       3.505467546079e-01       7.128187575571e+02 
       3.537604478613e-01       6.988550677290e+02 
       3.569741415884e-01       6.855569549973e+02 
       3.601878357763e-01       6.729419945624e+02 
       3.634015304129e-01       6.609973984181e+02 
       3.666152254863e-01       6.496689925095e+02 
       3.698289209850e-01       6.388740102929e+02 
       3.730426168981e-01       6.285110662256e+02 
       3.762563132148e-01       6.184694686410e+02 
       3.794700099248e-01       6.086576280540e+02 
       3.826837070182e-01       5.989957964008e+02 
       3.858974044854e-01       5.894363140605e+02 
       3.891111023171e-01       5.799442567307e+02 
       3.923248005043e-01       5.705008508808e+02 
       3.955384990383e-01       5.611034173529e+02 
       3.987521979106e-01       5.517586526276e+02 
       4.019658971132e-01       5.424880148972e+02 
       4.051795966381e-01       5.333208931795e+02 
       4.083932964776e-01       5.243017360701e+02 
       4.116069966245e-01       5.154717482854e+02 
       4.148206970715e-01       5.068712970083e+02 
       4.180343978117e-01       4.985269352048e+02 
       4.212480988383e-01       4.904471830817e+02 
       4.244618001448e-01       4.826349303341e+02 
       4.276755017249e-01       4.750786268874e+02 
       4.308892035724e-01       4.677678934888e+02 
       4.341029056814e-01       4.606871523005e+02 
       4.373166080461e-01       4.538228316083e+02 
       4.405303106608e-01       4.471538833598e+02 
       4.437440135202e-01       4.406554310738e+02 
       4.469577166189e-01       4.343010990942e+02 
       4.501714199518e-01       4.280605927965e+02 
       4.533851235138e-01       4.219103828696e+02 
       4.565988273002e-01       4.158358420190e+02 
       4.598125313061e-01       4.098295027481e+02 
       4.630262355271e-01       4.038921320426e+02 
       4.662399399587e-01       3.980309438631e+02 
       4.694536445964e-01       3.922509384431e+02 
       4.726673494362e-01       3.865554223091e+02 
       4.758810544738e-01       3.809525605605e+02 
       4.790947597053e-01       3.754510200813e+02 
       4.823084651269e-01       3.700580889916e+02 
       4.855221707346e-01       3.647840494040e+02 
       4.887358765249e-01       3.596403628085e+02 
       4.919495824942e-01       3.546308305570e+02 
       4.951632886388e-01       3.497571668358e+02 
       4.983769949556e-01       3.450093972354e+02 
       5.015907014410e-01       3.403790483105e+02 
       5.048044080920e-01       3.358524377464e+02 
       5.080181149053e-01       3.314176830116e+02 
       5.112318218778e-01       3.270683337057e+02 
       5.144455290067e-01       3.227968005946e+02 
       5.176592362889e-01       3.185989467111e+02 
       5.208729437216e-01       3.144675251323e+02 
       5.240866513020e-01       3.103960334292e+02 
       5.273003590275e-01       3.063810171687e+02 
       5.305140668953e-01       3.024182451243e+02 
       5.337277749030e-01       2.985087978250e+02 
       5.369414830479e-01       2.946570944110e+02 
       5.401551913277e-01       2.908681534798e+02 
       5.433688997399e-01       2.871490638100e+02 
       5.465826082821e-01       2.834996979756e+02 
       5.497963169522e-01       2.799188715084e+02 
       5.530100257478e-01       2.764066498720e+02 
       5.562237346669e-01       2.729618341230e+02 
       5.594374437071e-01       2.695792296601e+02 
       5.626511528665e-01       2.662629323700e+02 
       5.658648621431e-01       2.630115500894e+02 
       5.690785715348e-01       2.598240049217e+02 
       5.722922810396e-01       2.566976278189e+02 
       5.755059906558e-01       2.536280246721e+02 
       5.787197003814e-01       2.506102920284e+02 
       5.819334102146e-01       2.476384967112e+02 
       5.851471201537e-01       2.447115524834e+02 
       5.883608301968e-01       2.418294825592e+02 
       5.915745403424e-01       2.389913755897e+02 
       5.947882505886e-01       2.361971311530e+02 
       5.980019609340e-01       2.334479163945e+02 
       6.012156713769e-01       2.307396093882e+02 
       6.044293819157e-01       2.280706597687e+02 
       6.076430925490e-01       2.254405344346e+02 
       6.108568032752e-01       2.228486047827e+02 
       6.140705140928e-01       2.202969653319e+02 
       6.172842250005e-01       2.177885088424e+02 
       6.204979359968e-01       2.153228486683e+02 
       6.237116470804e-01       2.129005231333e+02 
       6.269253582499e-01       2.105199337483e+02 
       6.301390695040e-01       2.081769165839e+02 
       6.667540561636e-01       1.839057360769e+02 
       7.107351280313e-01       1.596490987814e+02 
       7.661003767386e-01       1.350478166602e+02 
       8.406393031043e-01       1.095715276735e+02 
       9.505981221482e-01       8.281738967763e+01 
       1.127496312962e+00       5.584078294833e+01 
       1.400595265552e+00       3.354939272311e+01 
       1.762121257845e+00       1.937756204198e+01 
